nr;naam;website;platform;redesign_score;actief_score;totaalscore;redesign_signalen;activiteit_signalen;advies
60;Philip Hoorne Photography & Wall Art;https://philiphoornefotografie.jouwweb.be/;JouwWeb;58;70;63;gratis/builder-subdomein | builder-footer/branding | oud copyrightjaar | oude template-elementen;site bereikbaar | recent jaartal op site | contactblok aanwezig | bedrijf/zakelijk taalgebruik | offerte/aanvraag | brancheterm;Hot lead: eerst actief verifiëren, daarna benaderen
63;Gracering voor Indische catering;https://gracering.webnode.nl/;Webnode;46;82;62;gratis/builder-subdomein | builder-footer/branding | oude template-elementen | klassieke homepage-opbouw;site bereikbaar | contactblok aanwezig | telefoonnummer zichtbaar | zakelijke/operationele info | bedrijf/zakelijk taalgebruik | offerte/aanvraag | brancheterm;Mogelijke lead: korte check doen
64;Homepage | hongerdijk.jouwweb.nl;https://hongerdijk.jouwweb.nl/;JouwWeb;46;81;62;gratis/builder-subdomein | builder-footer/branding | oud copyrightjaar;site bereikbaar | recent jaartal op site | contactblok aanwezig | e-mailadres zichtbaar | telefoonnummer zichtbaar | social/map-link aanwezig | bedrijf/zakelijk taalgebruik | offerte/aanvraag;Mogelijke lead: korte check doen
69;Tros Radar woekerpolis | tros-radar-woekerpolis.jouwweb.nl;https://tros-radar-woekerpolis.jouwweb.nl/;JouwWeb;46;80;61;gratis/builder-subdomein | builder-footer/branding | oud copyrightjaar;site bereikbaar | recent jaartal op site | contactblok aanwezig | zakelijke/operationele info | offerte/aanvraag | brancheterm;Mogelijke lead: korte check doen
70;Dwerggeitjes | dwerggeit.jouwweb.be;https://dwerggeit.jouwweb.be/;JouwWeb;52;71;61;gratis/builder-subdomein | builder-footer/branding | oud copyrightjaar | klassieke homepage-opbouw;site bereikbaar | recent jaartal op site | contactblok aanwezig | telefoonnummer zichtbaar | social/map-link aanwezig | offerte/aanvraag;Mogelijke lead: korte check doen
74;Home;https://www.sofin.eu/;Webnode;46;74;59;gratis/builder-subdomein | builder-footer/branding | oud copyrightjaar;site bereikbaar | contactblok aanwezig | telefoonnummer zichtbaar | zakelijke/operationele info | bedrijf/zakelijk taalgebruik | offerte/aanvraag | brancheterm;Mogelijke lead: korte check doen
75;Dierenarts An Vermorgen;https://www.dierenartsvermorgen.be/;Webnode;46;74;59;gratis/builder-subdomein | builder-footer/branding | oud copyrightjaar;site bereikbaar | contactblok aanwezig | zakelijke/operationele info | bedrijf/zakelijk taalgebruik | offerte/aanvraag | brancheterm;Mogelijke lead: korte check doen
76;Dopeygastouderopvang;https://dopeygastouderopvang.jouwweb.nl/;JouwWeb;52;68;59;gratis/builder-subdomein | builder-footer/branding | oud copyrightjaar | klassieke homepage-opbouw;site bereikbaar | recent jaartal op site | contactblok aanwezig | telefoonnummer zichtbaar | zakelijke/operationele info;Mogelijke lead: korte check doen
80;Vitalab;https://vitalab.jouwweb.nl/;JouwWeb;52;66;58;gratis/builder-subdomein | builder-footer/branding | oud copyrightjaar | klassieke homepage-opbouw;site bereikbaar | recent jaartal op site | contactblok aanwezig | e-mailadres zichtbaar | bedrijf/zakelijk taalgebruik;Mogelijke lead: korte check doen
93;Badmintonclubbergeijk;https://badmintonclubbergeijk.jouwweb.nl/;JouwWeb;46;71;57;gratis/builder-subdomein | builder-footer/branding | oud copyrightjaar;site bereikbaar | recent jaartal op site | contactblok aanwezig | e-mailadres zichtbaar | telefoonnummer zichtbaar | social/map-link aanwezig | offerte/aanvraag;Mogelijke lead: korte check doen
